IID	EYE	SKIN
06090455	-0.744116987115956	0.969711680720383
06090506	-9	-0.270858467962897
06090468	0.26817786833039	-0.420065293037018
06090608	-0.405213904062871	-0.154723258755721
06091204	-9	2.62867622548779
06090649	0.0371202285656731	2.46331814615307
06090735	0.260161631264631	-0.420065293037018
06090293	-0.996592570728316	1.04739152264042
06091227	-0.21592116001021	1.04508420060319
06091229	-0.783544661847703	0.455947973764133
06091181	-9	2.07953358062737
06091139	1.49413203362526	0.468253691296019
06091287	-1.28064467267794	-0.703096796270401
06090196	-0.21592116001021	0.106773238796862
06090739	1.24044785063799	-1.0384275990143
06090139	-0.263270248827488	-0.152415936718492
06091083	-0.31848667274835	1.72189866485693
06090073	-0.37368164823163	0.462869939875819
06091296	0.0847271002900619	-1.17455959921079
06090433	-1.14658584868736	0.0706251935469459
06091082	-0.791431163982024	1.09892171480519
06090611	3.60255183013445	-0.289317044260726
06091120	-0.72834809580613	3.1362870736781
06091084	0.340518740882465	1.00278329658733
06091338	-0.759887115526675	-0.0839653829473752
06090807	-1.26488913241802	0.685911070141257
06091367	-9	0.61207676494994
06091307	-0.113248469349145	-1.13610423192365
06091148	-0.31848667274835	0.436720290120561
06091049	-0.405213904062871	-0.916908638386924
06091363	-9	2.07491893655292
06091074	0.212149359970586	-1.20455478569476
06091240	-0.31848667274835	0.817428426263291
06090283	1.29307444400245	-1.05919349734936
06090026	-0.160651653214615	-0.473133699893277
06090513	-0.0895350124941976	-0.390839213898788
06091137	-1.67935469154664	1.14276083351253
06091146	-1.1544780222063	2.18643950168563
06091262	0.204160869310597	1.62729846133055
06090841	0.84048847232986	-0.0408953715857732
06090630	-9	-0.850765406653036
06090154	0.26817786833039	-0.777700208807461
06091275	-0.129052867061259	0.179838436642436
06091334	-0.37368164823163	-1.08995779117907
06091314	0.316366016812602	-0.877684163754037
06091001	0.0133434225051947	0.652839454274313
06091130	-0.444623166877414	-1.05073331654619
06090804	-0.815092614400679	1.24582121784208
